"#Frequency"	"Angle"	"Speed"	"RealArea"	"RealAreaDivSS"	"Stdev"	"RaDivSpeed"	"Time"	"TimeDivSpeed"	"TimeDivSS"	"Errors"	"CappedErr"	"Frates"	"Perims2s"	"Perims5s"
1	90	1.46	5.6932786054	2.670894448	1.1939462242	3.8995058941	0.1894307474	0.1297470872	0.088867868	0.4807692308	0.4807692308	0	3.8343965057	9.5859912642
2	90	1.46	4.8922578141	2.2951106277	1.0607052103	3.3508615165	0.2322356958	0.1590655451	0.1089490035	1.2692307692	1.2307692308	1.9230769231	3.6492426373	9.1231065932
4	90	1.46	3.7001660501	1.7358632249	1.0688576668	2.5343603083	0.3059389724	0.2095472414	0.1435255078	1.8076923077	1.6346153846	5.7692307692	2.856819066	7.1420476651
8	90	1.46	2.489028888	1.1676810321	0.8472122877	1.7048143068	0.3001245934	0.20556479	0.1407978014	2.3461538462	2.1153846154	9.6153846154	2.3843960505	5.9609901262
13	90	1.46	1.7845423745	0.8371844504	0.6625009864	1.2222892976	0.3541234032	0.2425502762	0.1661303261	2.4807692308	1.9230769231	11.5384615385	1.8972785934	4.7431964836
20	90	1.46	1.2956814088	0.6078445341	0.4454435943	0.8874530197	0.3279028276	0.2245909778	0.1538294369	1.9230769231	1.4807692308	7.6923076923	1.6298043744	4.0745109359
30	90	1.46	0.8995521622	0.4220079575	0.3097216262	0.616131618	0.2744268136	0.1879635709	0.1287421719	1.2692307692	1.2115384615	3.8461538462	1.1459817638	2.8649544094
														
1	120	1.46	5.1946547283	2.4369744456	1.1438089224	3.5579826906	0.1879310127	0.1287198717	0.0881642957	0.6923076923	0.6538461538	1.9230769231	3.4313835167	8.5784587917
2	120	1.46	3.8763373509	1.8185106732	1.0691676574	2.6550255828	0.3483739607	0.2386123018	0.1634330835	2.1346153846	1.9230769231	5.7692307692	2.8313241276	7.078310319
4	120	1.46	2.7720690721	1.3004640046	0.9373872319	1.8986774467	0.4778661357	0.3273055724	0.2241818989	2.9807692308	2.2692307692	13.4615384615	2.9895276946	7.4738192366
8	120	1.46	1.6443746676	0.7714274102	0.5733015825	1.1262840189	0.3379406349	0.2314661883	0.1585384851	2.2115384615	1.7884615385	9.6153846154	1.7926514643	4.4816286608
13	120	1.46	1.1176349742	0.524317402	0.3837458311	0.765503407	0.3375362663	0.2311892235	0.1583487832	2.0769230769	1.7692307692	9.6153846154	1.3323986309	3.3309965771
20	120	1.46	0.7600555986	0.3565657715	0.2627815332	0.5205860265	0.1858160155	0.1272712435	0.0871720846	0.7115384615	0.7115384615	0	1.1866540916	2.966635229
30	120	1.46	0.5368159248	0.2518370824	0.1833585984	0.3676821403	0.1972447558	0.1350991478	0.0925336629	0.7692307692	0.7692307692	0	0.9037603136	2.259400784
														
1	180	1.46	3.6009293687	1.6893082045	1.3009007559	2.4663899785	0.2485489177	0.1702389847	0.1166020443	0.9807692308	0.9423076923	3.8461538462	2.8372671199	7.0931677998
2	180	1.46	2.3071346971	1.0823487977	0.8532241084	1.5802292446	0.4775565538	0.32709353	0.2240366644	2.8076923077	2.3269230769	13.4615384615	2.4640562898	6.1601407246
4	180	1.46	1.3394082631	0.6283581643	0.5436045159	0.91740292	0.281217873	0.1926149815	0.1319280695	1.9038461539	1.75	5.7692307692	1.8518924129	4.6297310322
8	180	1.46	0.8361784777	0.3922773868	0.3191419813	0.5727249847	0.2966395161	0.2031777507	0.139162843	1.4038461539	1.1153846154	3.8461538462	1.3725789707	3.4314474267
13	180	1.46	0.5285359093	0.247952669	0.1887168996	0.3620108968	0.1695206406	0.1161100278	0.0795274163	0.5	0.5	0	1.053842908	2.6346072701
20	180	1.46	0.3546035608	0.166355583	0.1268798845	0.2428791512	0.1834929172	0.1256800803	0.0860822468	0.5192307692	0.5192307692	0	0.9716618015	2.4291545037
30	180	1.46	0.2506062422	0.1175671994	0.0946930396	0.1716481111	0.1719822241	0.1177960439	0.0806822219	0.4038461538	0.4038461538	0	0.8439331958	2.1098329894
